Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/3/18, 17:50:45, 68031.7, 68057.1, 67739.3, 67813.7, 42796196, 80000, 23042820, 19753368
2024/3/18, 18:16:18, 67813.7, 68163.5, 67783.3, 68139.1, 40489624, 80000, 19348860, 21140756
2024/3/18, 18:51:46, 68139.1, 68449.4, 68075.6, 68449.4, 45644108, 80000, 18759206, 26884900
2024/3/18, 19:29:09, 68449.4, 68557.9, 68216.0, 68238.8, 47589852, 80000, 23957572, 23632284
2024/3/18, 20:02:17, 68238.8, 68547.1, 68070.9, 68375.8, 45114960, 80000, 22399928, 22715030
2024/3/18, 20:27:20, 68375.8, 68670.0, 68332.1, 68610.0, 49088080, 80000, 21843252, 27244812
2024/3/18, 20:56:00, 68610.0, 68685.3, 68094.7, 68122.0, 48687168, 80000, 30038120, 18649054
2024/3/18, 21:20:43, 68122.0, 68330.0, 67839.1, 68317.4, 58871216, 80000, 28159248, 30711988
2024/3/18, 21:33:14, 68317.4, 68650.0, 67948.0, 67949.0, 59833856, 80000, 31666234, 28167596
2024/3/18, 21:42:47, 67949.0, 67994.5, 67459.0, 67469.4, 77439048, 80000, 44760816, 32678232
2024/3/18, 21:47:17, 67469.4, 67753.3, 67186.4, 67624.5, 63591256, 80000, 31471940, 32119320
2024/3/18, 21:51:56, 67624.5, 67764.9, 67265.4, 67358.5, 54300068, 80000, 27875824, 26424252
2024/3/18, 22:03:04, 67358.5, 67830.0, 67311.5, 67798.4, 51794284, 80000, 21630752, 30163524
2024/3/18, 22:15:52, 67798.4, 67875.9, 67206.7, 67206.7, 48005592, 80000, 27443108, 20562504
2024/3/18, 22:31:18, 67206.7, 67256.8, 66900.0, 67127.4, 63300600, 80000, 32121540, 31179072
2024/3/18, 22:37:16, 67127.4, 67217.2, 66880.1, 67057.8, 59517276, 80000, 25148412, 34368840
2024/3/18, 22:49:35, 67057.8, 67119.5, 66705.0, 66888.1, 55021300, 80000, 30082432, 24938884
2024/3/18, 22:58:35, 66888.1, 67190.7, 66756.0, 66780.0, 50698560, 80000, 26437386, 24261172
2024/3/18, 23:11:18, 66780.0, 67037.6, 66658.0, 67031.2, 51418016, 80000, 26634972, 24783040
2024/3/18, 23:26:02, 67031.2, 67450.0, 66941.0, 67350.0, 57335776, 80000, 25265644, 32070136
2024/3/18, 23:42:30, 67350.0, 67535.0, 67200.8, 67525.6, 52209576, 80000, 26898682, 25310902
